SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,FGA,FTA,TOV,AST_PCT,TEAM_NAME,GP_TEAM,FGA_TEAM,FTA_TEAM,TOV_TEAM,PLAYER_POSSESSIONS,TEAM_POSSESSIONS,USG_PCT,SELF_CREATION_INDEX,AST_TO_USG_RATIO,SHOT_CREATION_LOAD,SELFISHNESS_SCORE,KOBE_QUOTIENT,TEAM_RANK,LEAGUE_RANK
2023-24,1630230,Naji Marshall,1610612740,NOP,66,1257.1233333333332,367,86,65,0.139,New Orleans Pelicans,82,7165,1873,1067.0,469.84000000000003,9056.119999999999,0.05188093797343676,0.05180882346965368,0.026792113911118676,0.781116975991827,57.64197703877401,0.05180882346965368,12,316
2023-24,1629643,Chuma Okeke,1610612753,ORL,47,431.73,112,7,16,0.076,Orlando Magic,82,6964,2002,1206.0,131.07999999999998,9050.880000000001,0.014482569650685896,0.014471562897751375,0.05247687519072323,0.8544400366188588,57.63770351840462,0.014471562897751375,11,317
2023-24,203994,Jusuf Nurkić,1610612756,PHX,76,2078.035,627,261,175,0.186,Phoenix Suns,82,7063,1915,1221.0,916.84,9126.6,0.10045800188460105,0.1002711500010957,0.01851520003490249,0.6838706862702325,57.62133380078869,0.1002711500010957,11,318
2023-24,203497,Rudy Gobert,1610612750,MIN,76,2593.1133333333332,614,390,118,0.057,Minnesota Timberwolves,82,6974,1881,1162.0,903.6,8963.64,0.10080726133579662,0.10074980119683523,0.005654354581673306,0.6795042054006197,57.59957456144426,0.10074980119683523,10,319
2023-24,1631197,Jared Rhoden,1610612765,DET,17,245.01666666666668,66,8,7,0.085,Detroit Pistons,82,7236,1780,1248.0,76.52,9267.2,0.008257078729281766,0.008250060212361876,0.10294197595399898,0.8625196027182437,57.546675203536154,0.008250060212361876,14,320
2023-24,1630548,Johnny Juzang,1610612762,UTA,20,371.80333333333334,110,14,13,0.086,Utah Jazz,82,7371,1853,1285.0,129.16,9471.32,0.013636958734368598,0.013625230949857042,0.06306391452462062,0.8516568597088883,57.54421554355251,0.013625230949857042,9,321
2023-24,1629162,Jordan McLaughlin,1610612750,MIN,56,626.12,145,18,19,0.229,Minnesota Timberwolves,82,6974,1881,1162.0,171.92,8963.64,0.019179708243526068,0.01913578671164839,0.11939701954397394,0.8434155421126106,57.54389917199326,0.01913578671164839,11,322
2023-24,1631108,Max Christie,1610612747,LAL,67,944.3183333333334,241,46,35,0.084,Los Angeles Lakers,82,7177,1983,1146.0,296.24,9195.52,0.032215687639198215,0.03218862646158129,0.02607425330812855,0.8135295706184175,57.525618917936285,0.03218862646158129,11,323
2023-24,1627780,Gary Payton II,1610612744,GSW,44,679.9,183,23,27,0.094,Golden State Warriors,82,7515,1644,1174.0,220.12,9412.36,0.023386270818370736,0.023364287723801468,0.04019452298746139,0.8313647101580955,57.52514503589674,0.023364287723801468,8,324
2023-24,1629642,Nassir Little,1610612756,PHX,45,458.28333333333336,124,20,14,0.068,Phoenix Suns,82,7063,1915,1221.0,146.8,9126.6,0.016084850875462933,0.016073913176867616,0.0422758038147139,0.8446866485013623,57.50992700504577,0.016073913176867616,12,325
