game_id,home_team,away_team,home_flagrants,away_flagrants,home_score,away_score
0022301019,1610612752,1610612751,0,0,105,93
0022301022,1610612764,1610612761,1,0,112,109
0022301026,1610612757,1610612743,0,0,111,114
0022301025,1610612759,1610612756,0,0,106,131
0022301024,1610612745,1610612762,0,0,147,119
0022301021,1610612737,1610612766,0,0,132,91
0022301020,1610612753,1610612758,0,0,107,109
0022301023,1610612741,1610612738,0,0,113,124
0022301014,1610612750,1610612739,0,0,104,91
0022301015,1610612759,1610612763,0,0,97,99
0022301012,1610612761,1610612760,0,0,103,123
0022301017,1610612757,1610612746,0,0,117,125
0022301018,1610612747,1610612755,0,0,101,94
0022301011,1610612765,1610612738,0,0,102,129
0022301016,1610612744,1610612754,0,0,111,123
0022301013,1610612748,1610612740,0,0,88,111
0022301006,1610612745,1610612741,0,1,127,117
0022301008,1610612742,1610612762,0,0,113,97
0022301007,1610612749,1610612751,0,0,115,108
0022301009,1610612743,1610612752,0,0,113,100
0022301005,1610612764,1610612758,0,0,109,102
0022301004,1610612753,1610612740,0,0,121,106
0022301010,1610612756,1610612737,1,1,128,115
0022301000,1610612760,1610612762,0,0,119,107
0022301001,1610612744,1610612763,0,0,137,116
0022300996,1610612739,1610612748,0,0,104,107
0022301003,1610612757,1610612746,0,0,103,116
0022300999,1610612761,1610612758,0,0,89,123
0022301002,1610612756,1610612755,0,0,115,102
0022300998,1610612738,1610612749,0,0,122,119
0022300997,1610612765,1610612754,0,0,103,122
0022300991,1610612753,1610612766,0,1,112,92
0022300993,1610612751,1610612740,0,0,91,104
0022300995,1610612750,1610612743,0,0,112,115
0022300992,1610612764,1610612745,0,0,114,137
0022300994,1610612759,1610612742,0,0,107,113
0022300987,1610612762,1610612750,0,0,104,114
0022300984,1610612738,1610612765,0,0,119,94
0022300990,1610612747,1610612737,0,0,136,105
0022300985,1610612755,1610612748,0,0,98,91
0022300988,1610612744,1610612752,1,0,112,119
0022300986,1610612741,1610612757,0,0,110,107
0022300989,1610612758,1610612763,1,0,121,111
0022300983,1610612754,1610612739,0,0,103,108
0022300980,1610612764,1610612738,0,0,104,130
0022300981,1610612759,1610612751,0,1,122,115
0022300978,1610612742,1610612743,0,0,107,105
0022300982,1610612746,1610612737,0,0,93,110
0022300976,1610612749,1610612756,0,0,140,129
0022300977,1610612765,1610612748,0,0,101,104
0022300979,1610612753,1610612761,0,0,111,96
0022300971,1610612741,1610612764,1,0,127,98
0022300974,1610612762,1610612750,0,0,100,119
0022300967,1610612745,1610612739,0,1,117,103
0022300975,1610612758,1610612752,0,1,91,98
0022300969,1610612755,1610612766,0,1,109,98
0022300970,1610612740,1610612757,0,0,126,107
0022300972,1610612763,1610612760,0,0,112,118
0022300973,1610612747,1610612744,0,0,121,128
0022300968,1610612754,1610612751,0,0,121,100
0022300961,1610612766,1610612756,0,0,96,107
0022300966,1610612762,1610612737,0,0,124,122
0022300963,1610612761,1610612753,0,0,103,113
0022300962,1610612765,1610612748,0,0,95,108
0022300965,1610612759,1610612743,0,0,106,117
0022300964,1610612740,1610612746,0,0,112,104
0022300956,1610612741,1610612746,0,0,111,126
0022300957,1610612745,1610612764,0,0,135,119
0022300959,1610612760,1610612742,0,0,126,119
0022300960,1610612757,1610612752,0,0,93,105
0022300958,1610612749,1610612755,0,0,114,105
0022300955,1610612738,1610612756,0,0,127,112
0022300953,1610612757,1610612737,0,0,106,102
0022300951,1610612740,1610612739,0,0,95,116
0022300947,1610612753,1610612751,0,0,114,106
0022300946,1610612765,1610612761,0,0,113,104
0022300954,1610612758,1610612747,0,0,120,107
0022300948,1610612754,1610612741,0,0,129,132
0022300950,1610612763,1610612766,0,0,98,110
0022300949,1610612748,1610612743,0,0,88,100
0022300952,1610612742,1610612744,0,0,109,99
0022300944,1610612746,1610612750,0,0,100,118
